run_number,w,t_naturalSubgrade,t_subgradeFill,t_baseAgg,t_baseAC,t_wearingAC,e_naturalSubgrade,density_naturalSubgrade,elasticModulus_naturalSubgrade,poissonsRatio_naturalSubgrade,density_subgradeFill,elasticModulus_subgradeFill,poissonsRatio_subgradeFill,density_baseAgg,elasticModulus_baseAgg,poissonsRatio_baseAgg,density_baseAC,elasticModulus_baseAC,poissonsRatio_baseAC,density_wearingAC,elasticModulus_wearingAC,poissonsRatio_wearingAC,tyrePressure,temperature,saturation,frictionAngle_naturalSubgrade,k_naturalSubgrade,dilationAngle_naturalSubgrade,yieldStress_naturalSubgrade,frictionAngle_subgradeFill,k_subgradeFill,dilationAngle_subgradeFill,yieldStress_subgradeFill,frictionAngle_baseAgg,k_baseAgg,dilationAngle_baseAgg,yieldStress_baseAgg
1,352.635445773572,105.491102700811,20.5660831581497,29.7146489329498,21.4166065772279,27.2789626832687,314.250538837096,1.65893172182185e-09,37.1220742386872,0.462597456576582,1.7656556442661e-09,66.8301240240058,0.415961931504749,2.05712923128325e-09,2629.46312968179,0.191270652841296,8.78727903967755e-10,3302.45878968515,0.35221125175277,2.33681859208825e-09,1448.44353354019,0.253618052523547,109.746342175232,37.3655388658078,0.115791183651475,21.7147780151399,0.993511594627526,7.79214059448734,4.54219557713714,36.1335060612769,0.950934427872262,4.68968371407808,3.97272317335789,39.5955710105094,0.8226029885585,21.144449409571,7.24753891158621
1,352.635445773572,105.491102700811,20.5660831581497,29.7146489329498,21.4166065772279,27.2789626832687,314.250538837096,1.65893172182185e-09,37.1220742386872,0.462597456576582,1.7656556442661e-09,66.8301240240058,0.415961931504749,2.05712923128325e-09,2629.46312968179,0.191270652841296,8.78727903967755e-10,3302.45878968515,0.35221125175277,2.33681859208825e-09,1448.44353354019,0.253618052523547,109.746342175232,37.3655388658078,0.115791183651475,21.7147780151399,0.993511594627526,7.79214059448734,4.54219557713714,36.1335060612769,0.950934427872262,4.68968371407808,3.97272317335789,39.5955710105094,0.8226029885585,21.144449409571,7.24753891158621
2,346.283559906212,111.63591998754,29.8280020409877,20.3444058270486,24.9242962596234,23.9686169186691,367.560307328496,1.79063353445631e-09,35.3596130749436,0.470097035491627,1.64787039659031e-09,61.5407299145731,0.436818111255114,2.5167178585705e-09,2146.63404842388,0.198437766803214,1.15834898486494e-09,2960.27927496406,0.382985560582243,2.02973618494406e-09,1467.16779990889,0.300572446029693,111.840830662054,33.4283718060985,0.371247812938789,28.1973595089006,0.891948083230881,7.7899016659107,2.34178481720282,38.31472965799,0.858303186725671,7.60534230745592,6.95937990120573,36.3894515252176,0.930498408263804,22.7953566577987,4.7576841082002
2,346.283559906212,111.63591998754,29.8280020409877,20.3444058270486,24.9242962596234,23.9686169186691,367.560307328496,1.79063353445631e-09,35.3596130749436,0.470097035491627,1.64787039659031e-09,61.5407299145731,0.436818111255114,2.5167178585705e-09,2146.63404842388,0.198437766803214,1.15834898486494e-09,2960.27927496406,0.382985560582243,2.02973618494406e-09,1467.16779990889,0.300572446029693,111.840830662054,33.4283718060985,0.371247812938789,28.1973595089006,0.891948083230881,7.7899016659107,2.34178481720282,38.31472965799,0.858303186725671,7.60534230745592,6.95937990120573,36.3894515252176,0.930498408263804,22.7953566577987,4.7576841082002
3,310.239771732834,107.242196617125,21.0490288754534,21.6179149070651,28.1095149498903,26.359244346741,369.223849315065,1.76662010757225e-09,39.0139497799278,0.450744935730109,1.85094187085308e-09,66.1468406387874,0.35937921168213,2.10679947128994e-09,2688.08032241556,0.205874457764378,1.14015820485289e-09,2992.83945632136,0.3640422034219,2.14572316860289e-09,1305.84125426218,0.329290302975358,85.4515788966353,38.04101188487,0.121325104974161,25.4445625736357,0.838494657869564,4.8639239976107,3.45766441674285,34.7970643857775,0.789452555426231,7.50140606055639,6.10586559516248,36.6171242181973,0.784045174167434,22.9691346051621,6.28692659446115
3,310.239771732834,107.242196617125,21.0490288754534,21.6179149070651,28.1095149498903,26.359244346741,369.223849315065,1.76662010757225e-09,39.0139497799278,0.450744935730109,1.85094187085308e-09,66.1468406387874,0.35937921168213,2.10679947128994e-09,2688.08032241556,0.205874457764378,1.14015820485289e-09,2992.83945632136,0.3640422034219,2.14572316860289e-09,1305.84125426218,0.329290302975358,85.4515788966353,38.04101188487,0.121325104974161,25.4445625736357,0.838494657869564,4.8639239976107,3.45766441674285,34.7970643857775,0.789452555426231,7.50140606055639,6.10586559516248,36.6171242181973,0.784045174167434,22.9691346051621,6.28692659446115
4,384.606983575755,100.995814009294,20.9606954751136,21.3363680627084,28.2919320344547,24.2585468183874,352.350473758485,1.69520201900119e-09,37.4270235719696,0.412005866451294,1.93594476691414e-09,76.1703340868512,0.421230106912446,2.34588129600504e-09,2103.56041686798,0.195981930804365,1.04437347084658e-09,3378.69447584478,0.31078523709145,2.18256449425901e-09,1456.63417598767,0.344455239184391,114.303758933983,35.947242613733,0.0581662650654798,25.3536952925939,0.970604563619924,5.5078309017115,2.93816286738636,35.2429517207845,0.885880860975934,4.37658906556074,4.02538413674069,42.7480171387448,0.904150957788047,24.9232161214855,7.16093039621579
4,384.606983575755,100.995814009294,20.9606954751136,21.3363680627084,28.2919320344547,24.2585468183874,352.350473758485,1.69520201900119e-09,37.4270235719696,0.412005866451294,1.93594476691414e-09,76.1703340868512,0.421230106912446,2.34588129600504e-09,2103.56041686798,0.195981930804365,1.04437347084658e-09,3378.69447584478,0.31078523709145,2.18256449425901e-09,1456.63417598767,0.344455239184391,114.303758933983,35.947242613733,0.0581662650654798,25.3536952925939,0.970604563619924,5.5078309017115,2.93816286738636,35.2429517207845,0.885880860975934,4.37658906556074,4.02538413674069,42.7480171387448,0.904150957788047,24.9232161214855,7.16093039621579
5,325.883472177292,102.1576624941,26.532995501355,28.6967150143945,22.2238189737246,20.3051788451019,398.36228069882,1.43619551962753e-09,31.5687980454866,0.423710276234341,1.86754824369402e-09,67.261576178284,0.396766280550049,2.00850973652904e-09,2511.90152048551,0.218358832847087,1.12306571792417e-09,2849.50587738482,0.338707300852372,2.38333880557941e-09,1256.44577934335,0.282316977258228,83.4511302414353,25.9352934696094,0.0411697789685518,27.6874656326806,0.826561351118121,3.95257931922554,3.10222643367827,32.669625421562,0.935597476553209,5.72484889425884,3.48942127996848,39.3787106138068,0.949465895349088,25.9706184599588,4.98462296152129
5,325.883472177292,102.1576624941,26.532995501355,28.6967150143945,22.2238189737246,20.3051788451019,398.36228069882,1.43619551962753e-09,31.5687980454866,0.423710276234341,1.86754824369402e-09,67.261576178284,0.396766280550049,2.00850973652904e-09,2511.90152048551,0.218358832847087,1.12306571792417e-09,2849.50587738482,0.338707300852372,2.38333880557941e-09,1256.44577934335,0.282316977258228,83.4511302414353,25.9352934696094,0.0411697789685518,27.6874656326806,0.826561351118121,3.95257931922554,3.10222643367827,32.669625421562,0.935597476553209,5.72484889425884,3.48942127996848,39.3787106138068,0.949465895349088,25.9706184599588,4.98462296152129
