run_number,w,t_naturalSubgrade,t_subgradeFill,t_baseAgg,t_baseAC,t_wearingAC,e_naturalSubgrade,density_naturalSubgrade,elasticModulus_naturalSubgrade,poissonsRatio_naturalSubgrade,density_subgradeFill,elasticModulus_subgradeFill,poissonsRatio_subgradeFill,density_baseAgg,elasticModulus_baseAgg,poissonsRatio_baseAgg,density_baseAC,elasticModulus_baseAC,poissonsRatio_baseAC,density_wearingAC,elasticModulus_wearingAC,poissonsRatio_wearingAC,tyrePressure,temperature,saturation,frictionAngle_naturalSubgrade,k_naturalSubgrade,dilationAngle_naturalSubgrade,yieldStress_naturalSubgrade,frictionAngle_subgradeFill,k_subgradeFill,dilationAngle_subgradeFill,yieldStress_subgradeFill,frictionAngle_baseAgg,k_baseAgg,dilationAngle_baseAgg,yieldStress_baseAgg
1,326.5828337,41.91899383,31.96164434,32.0291254,39.91408419,16.08571106,322.4879942,1.50E-09,45.55983743,0.465444636,1.62E-09,81.73487882,0.446330152,2.09E-09,3273.728364,0.194638711,8.45E-10,3725.80482,0.371889799,2.30E-09,1993.299439,0.337293179,97.96249542,47.86898245,0.180110676,25.97779237,0.964002519,7.232274789,3.605352005,37.72443254,0.801741661,3.118088716,4.62077144,35.95852394,0.788498799,25.97399375,4.776938609
1,326.5828337,41.91899383,31.96164434,32.0291254,39.91408419,16.08571106,322.4879942,1.50E-09,45.55983743,0.465444636,1.62E-09,81.73487882,0.446330152,2.09E-09,3273.728364,0.194638711,8.45E-10,3725.80482,0.371889799,2.30E-09,1993.299439,0.337293179,97.96249542,47.86898245,0.180110676,25.97779237,0.964002519,7.232274789,3.605352005,37.72443254,0.801741661,3.118088716,4.62077144,35.95852394,0.788498799,25.97399375,4.776938609
2,379.2793112,55.49327681,31.07610983,30.28927418,32.04606678,16.30260437,399.3177762,1.50E-09,49.289398,0.417152755,1.77E-09,92.25062513,0.435725664,2.30E-09,3534.18505,0.186220917,8.83E-10,3571.535815,0.31541514,2.23E-09,1972.738151,0.30224746,107.0213097,47.6871503,0.028177216,29.36362293,0.984295983,7.690916781,2.981872012,31.95140709,0.84372708,5.818031904,6.739203093,38.78533508,0.936859742,24.6230642,5.285154028
2,379.2793112,55.49327681,31.07610983,30.28927418,32.04606678,16.30260437,399.3177762,1.50E-09,49.289398,0.417152755,1.77E-09,92.25062513,0.435725664,2.30E-09,3534.18505,0.186220917,8.83E-10,3571.535815,0.31541514,2.23E-09,1972.738151,0.30224746,107.0213097,47.6871503,0.028177216,29.36362293,0.984295983,7.690916781,2.981872012,31.95140709,0.84372708,5.818031904,6.739203093,38.78533508,0.936859742,24.6230642,5.285154028
3,398.9324324,66.46377361,39.82691663,36.92728236,36.74277911,15.57543721,346.7810027,1.80E-09,43.82143274,0.403470293,1.72E-09,98.43329307,0.357203599,2.15E-09,3737.332914,0.190234261,1.13E-09,4278.445114,0.35360562,2.04E-09,1682.909782,0.326274703,84.64606295,49.47511931,0.133436828,25.53522397,0.902033189,7.938952731,2.137837933,35.75580833,0.793433968,5.010350784,5.023469969,44.67033212,0.942268193,22.23731486,7.136779874
3,398.9324324,66.46377361,39.82691663,36.92728236,36.74277911,15.57543721,346.7810027,1.80E-09,43.82143274,0.403470293,1.72E-09,98.43329307,0.357203599,2.15E-09,3737.332914,0.190234261,1.13E-09,4278.445114,0.35360562,2.04E-09,1682.909782,0.326274703,84.64606295,49.47511931,0.133436828,25.53522397,0.902033189,7.938952731,2.137837933,35.75580833,0.793433968,5.010350784,5.023469969,44.67033212,0.942268193,22.23731486,7.136779874
4,350.3649358,59.86321673,33.97265313,38.69185298,36.10241407,15.67802543,320.8324429,1.46E-09,44.05038458,0.455077423,1.98E-09,84.23419375,0.42849382,2.09E-09,2979.296584,0.216262413,8.37E-10,3610.190214,0.39667506,2.39E-09,1621.59441,0.33948614,115.0161148,40.86268795,0.624979818,21.61576568,0.891680889,6.606352708,2.458139275,36.55821733,0.831591405,6.184834442,5.620915045,36.89716625,0.901897652,21.35625556,6.589290136
4,350.3649358,59.86321673,33.97265313,38.69185298,36.10241407,15.67802543,320.8324429,1.46E-09,44.05038458,0.455077423,1.98E-09,84.23419375,0.42849382,2.09E-09,2979.296584,0.216262413,8.37E-10,3610.190214,0.39667506,2.39E-09,1621.59441,0.33948614,115.0161148,40.86268795,0.624979818,21.61576568,0.891680889,6.606352708,2.458139275,36.55821733,0.831591405,6.184834442,5.620915045,36.89716625,0.901897652,21.35625556,6.589290136
5,377.0261917,53.01380856,37.02533834,31.73046543,38.24072055,18.62974865,368.3997716,1.78E-09,40.88346242,0.426431987,1.60E-09,88.65786839,0.375593676,2.23E-09,3223.730525,0.204012556,8.29E-10,3829.877841,0.384063489,2.14E-09,1974.867127,0.253565998,81.39936031,40.76162159,0.535743295,22.62262256,0.92895905,7.228785129,2.222016154,37.53829938,0.982791979,4.80542803,4.827515665,38.85638434,0.802886997,29.5625087,4.160800409
5,377.0261917,53.01380856,37.02533834,31.73046543,38.24072055,18.62974865,368.3997716,1.78E-09,40.88346242,0.426431987,1.60E-09,88.65786839,0.375593676,2.23E-09,3223.730525,0.204012556,8.29E-10,3829.877841,0.384063489,2.14E-09,1974.867127,0.253565998,81.39936031,40.76162159,0.535743295,22.62262256,0.92895905,7.228785129,2.222016154,37.53829938,0.982791979,4.80542803,4.827515665,38.85638434,0.802886997,29.5625087,4.160800409
