run_number,w,t_naturalSubgrade,t_subgradeFill,t_baseAgg,t_baseAC,t_wearingAC,e_naturalSubgrade,density_naturalSubgrade,elasticModulus_naturalSubgrade,poissonsRatio_naturalSubgrade,density_subgradeFill,elasticModulus_subgradeFill,poissonsRatio_subgradeFill,density_baseAgg,elasticModulus_baseAgg,poissonsRatio_baseAgg,density_baseAC,elasticModulus_baseAC,poissonsRatio_baseAC,density_wearingAC,elasticModulus_wearingAC,poissonsRatio_wearingAC,tyrePressure,temperature,saturation,frictionAngle_naturalSubgrade,k_naturalSubgrade,dilationAngle_naturalSubgrade,yieldStress_naturalSubgrade,frictionAngle_subgradeFill,k_subgradeFill,dilationAngle_subgradeFill,yieldStress_subgradeFill,frictionAngle_baseAgg,k_baseAgg,dilationAngle_baseAgg,yieldStress_baseAgg
1,398.169512285279,46.3852443080777,30.1004722153526,37.5809317256872,32.6844007373563,19.0030867203435,343.755029932655,1.69763524084953e-09,47.0953649188929,0.476395756595419,1.84209744473869e-09,89.2847888165575,0.407314084390355,2.21032840504562e-09,3780.22509229127,0.187811919720989,9.87065911239325e-10,4451.4840344858,0.372539794876088,2.30471137434084e-09,1775.66504129401,0.297149743241604,89.5830302793716,44.1015832564569,0.706856033502151,23.4157009677657,0.961580237546527,4.63482143683188,3.27107133035126,34.4987830752032,0.807493015299683,6.67627674072375,4.19218467266726,37.7642015812371,0.962680221780302,27.9439141936504,6.34892663980254
2,334.021087006228,42.1713006827305,36.8326743466665,37.92423761615,37.8870005205581,15.0426157189383,319.423025421595,1.73049872975175e-09,40.6211848636541,0.419995012821267,1.99424743896629e-09,97.961842030747,0.405491258917937,2.59973372963787e-09,3467.09376432249,0.189401380003339,1.19991326264508e-09,4152.05132848139,0.369887788260501,2.28422854783342e-09,1843.65326063549,0.319776664194488,102.314758407754,46.5909070571101,0.436182975129899,28.0414442069646,0.995442343386293,5.50666567853975,2.4109204110091,35.8094710827135,0.85776303045164,4.60770269862003,3.73933439546695,36.8536532634919,0.942238218400028,23.6775716851276,7.10033789847147
3,345.814974788467,78.8040566200277,36.7204200914968,38.4320494466312,34.5917737631979,12.2587769438657,372.965088877433,1.5516275319053e-09,45.8824816930383,0.414954883885265,1.98159295943974e-09,84.5870461160369,0.362683944173838,2.50604905012475e-09,3597.61342319527,0.186991839953539,9.22751369353565e-10,4039.63264987594,0.376543452209168,2.18695934906682e-09,1993.44993833526,0.312597470363383,81.0745504492515,43.1428428246226,0.700093427749961,22.4027202270533,0.94598073000142,5.98392543203285,3.67410742124151,35.2960733757047,0.993260602190977,4.89892669526203,3.27860514728364,44.2293024668436,0.947347303597833,21.7959954442389,7.60837980566208
4,360.288420965112,55.1913352489297,33.55576799818,35.4120797768735,35.6414689698197,11.3625133807676,361.891985449602,1.53561553982412e-09,43.1230234651166,0.455607661280438,1.6938716419206e-09,89.1937650122267,0.399214769303631,2.57026505643832e-09,3618.16585396132,0.217773119872343,1.05178994406928e-09,4010.51777934323,0.39757358110837,2.10745814554116e-09,1624.23627656954,0.276451543973432,117.904221041124,45.8282830242751,0.332540392898687,23.0281538902619,0.876766624224317,3.63883941443507,2.73619402076286,32.2899764219096,0.988004749349696,6.95905060509309,6.94246824168544,41.0572291027124,0.999389678712918,27.7468652124621,5.84100734936291
5,320.394026830537,44.7124423722907,36.291803045696,36.9104495706747,30.2608381019485,12.1788403129796,344.803985853892,1.67649013761022e-09,46.9451900116038,0.465186788365426,1.6203039902856e-09,86.9611271012617,0.438690405108967,2.10360024381476e-09,3385.58620757936,0.208571785255939,8.50978705885386e-10,4309.23729171174,0.374224738058871,2.1640147143185e-09,1645.51683689222,0.29995182626993,91.2454337978144,44.6889864237957,0.491138342314617,22.635723633737,0.962533699767873,3.01148446862097,3.84002328295103,36.0555828270483,0.859890799621552,5.02424342072829,3.7330913676149,39.679026977358,0.944403982354105,20.6418830380898,7.15799858614115
6,341.667772836437,48.2889455884009,34.1735095675794,37.9564896595469,37.3718540679856,18.7900765049319,323.723101872172,1.77639895217928e-09,44.1271458986542,0.40762143260627,1.98287084267871e-09,97.4795694039688,0.428167930283555,2.19892606011403e-09,2823.67099170838,0.2150079274282,1.10891335099946e-09,3898.77689546704,0.396658039012157,2.38217917694628e-09,1732.33256761719,0.341684365774181,103.758220676348,47.7024413396445,0.803604232798784,26.493534623774,0.833227110627683,4.76316782866893,3.70836077756995,39.6091519605832,0.865352830650936,4.25049731184531,5.90045760127766,41.0437845771578,0.879443592047339,23.6625595083893,6.7357968120441
7,398.388717652287,77.4585494329294,39.8338593796683,31.5175977855384,34.4926078341235,16.3183033497438,383.857078904084,1.72596733141429e-09,46.9143641822003,0.474044970809116,1.75364819446696e-09,87.4957587650869,0.408987608272381,2.36729079327442e-09,2966.96011827182,0.202138302129367,8.31576827774983e-10,3742.87474857088,0.315881934333061,2.32744435309969e-09,1890.21461630767,0.262738268406912,94.1527631365961,43.2359471849126,0.881535541581528,21.0475304117259,0.904254461495787,3.11740714471994,4.85420181652963,32.2342696498357,0.890728159343714,6.53129891387903,4.35771021469809,37.5660442277967,0.935847665716275,29.7429350571329,5.42007136173989
8,333.747661636758,66.8298361796768,36.3401566715502,31.7577586773814,37.2139569742141,14.3965333126651,356.080989168674,1.7450871958376e-09,41.142099996594,0.402419272549955,1.6240285437847e-09,97.3378781464154,0.364478314868777,2.05073997380597e-09,3774.90442710491,0.184808516818988,8.06595281335317e-10,3888.94355648668,0.368033766429241,2.20732457251622e-09,1912.06464457176,0.275786862057118,110.924843452213,49.3865628309175,0.826497082973001,21.021834193195,0.787928243207113,6.09455743970282,3.52564271283713,34.7093206555573,0.88724303701721,6.40378048107327,4.65104210327103,40.2852469912314,0.938854929235071,24.77906718118,4.40592400082656
9,332.722251784237,51.0600083863337,38.8420274873719,33.2933343741233,30.7883913321589,10.3715669089948,328.135878772182,1.51730689206459e-09,47.0612218883139,0.475335251345003,1.78605087186488e-09,87.0851235638316,0.41142647673383,2.2903016317461e-09,3087.04023368734,0.195382689644072,1.15173354239269e-09,3791.75158504914,0.348171103539567,2.39425563780255e-09,1835.97496738714,0.290174813267767,98.5926059595586,48.5791313266325,0.186410421000906,24.156855238572,0.972484680967614,3.31010030429353,4.71151957555355,36.4068009454141,0.958146126087237,7.14414151430295,3.96620619477218,40.7717505029558,0.925388005143217,24.9672769695033,7.5857737440007
10,397.902065386291,47.467969440187,34.2910079521198,34.2000164437098,37.9698184199476,11.5251469047559,313.755760853631,1.78346678010018e-09,41.8562993410175,0.464893324767103,1.71239556694219e-09,80.2555830175987,0.422336679557455,2.38981964170469e-09,3732.53395025065,0.189015821187417,1.08178773378776e-09,3503.13770299615,0.351319162917942,2.16613897491592e-09,1718.38822714245,0.304046922665216,118.94158234962,45.4975540728463,0.177266675743727,27.4206378815453,0.882763411962293,7.30909110284911,3.70602873965012,38.7451664599048,0.834541332188517,6.14261302511018,4.36839334944512,39.8504220648274,0.789490867677588,24.130679017528,7.43505484411858
